Cycle size: 20000000
Prize   Count

[5]   629788
[10]  956274
[15]  238090
[20]  425746
[25]   70334
[30]  352591
[35]   11798
[40]  115418
[45]   69966
[50]   75010
[55]    2292
[60]   84420
[65]   13405
[70]   16702
[75]    7514
[80]   28294
[85]     415
[90]   24467
[95]    1602
[100]  14342
[105]   5570
[110]   6723
[115]   3403
[120]  14728
[125]   5047
[130]   3397
[135]    354
[140]   6856
[145]   2017
[150]   9918
[155]    221
[160]   4278
[165]    256
[170]   4142
[175]    634
[180]   5772
[185]     93
[190]   4338
[195]    675
[200]   3515
[205]    187
[210]   4265
[215]    371
[220]   2037
[225]    283
[230]   1151
[235]    131
[240]   1076
[245]    228
[250]    420
[255]    128
[260]    618
[265]    440
[270]    165
[275]     40
[280]    758
[285]     20
[290]    123
[295]     86
[300]   1397
[305]     17
[310]    276
[315]    143
[320]    443
[325]     95
[330]    435
[335]     42
[340]    393
[345]     49
[350]    223
[355]     27
[360]    583
[365]     17
[370]    142
[375]      7
[380]    209
[385]      4
[390]     47
[395]     62
[400]    218
[410]     36
[415]     59
[420]    101
[425]      8
[430]    124
[435]      2
[440]    187
[445]     34
[450]     66
[455]      1
[460]    157
[465]     36
[470]     34
[475]      9
[480]    104
[485]      1
[490]     48
[495]     25
[500]    116
[505]      3
[510]     29
[515]     11
[520]    126
[530]     30
[540]    185
[545]      9
[550]     11
[555]      3
[560]     53
[565]      8
[570]     10
[575]      2
[580]     36
[590]      5
[595]      1
[600]     88
[610]      7
[615]      9
[620]     58
[630]      3
[635]      1
[640]      4
[645]      9
[650]      4
[660]     19
[665]      3
[670]      6
[680]     22
[690]      5
[695]      8
[700]     74
[705]      9
[710]      4
[715]      4
[720]     13
[730]      7
[740]     11
[745]      4
[750]      9
[760]     41
[765]      6
[770]      5
[780]      9
[790]      6
[800]      6
[810]      5
[815]      2
[820]      4
[830]      5
[840]      7
[845]      2
[870]      1
[880]      3
[890]      5
[895]      3
[900]      3
[910]      3
[920]      3
[930]      1
[950]      3
[960]      3
[965]      1
[970]      1
[990]      6
[995]      1
[1000]    22
[1020]     1
[1030]     1
[1040]     1
[1050]     5
[1060]     5
[1070]     3
[1080]     2
[1090]     1
[1115]     2
[1130]     1
[1140]     2
[1145]     1
[1150]     3
[1190]     5
[1210]     2
[1215]     1
[1220]     1
[1240]     1
[1250]     4
[1295]     2
[1300]     2
[1320]     2
[1330]     1
[1360]     1
[1445]     1
[1470]     1
[1750]     3
[1810]     3
[1900]     2
[2000]     1
